panel_id,bars_path,status
DBAR-001,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/AEHR_2023-03-02/bars.csv,frozen_existing_artifact
DBAR-002,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/AEHR_2025-04-07/bars.csv,frozen_existing_artifact
DBAR-003,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/ARRY_2024-11-06/bars.csv,frozen_existing_artifact
DBAR-004,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/CABA_2022-04-04/bars.csv,frozen_existing_artifact
DBAR-005,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/CABA_2022-06-21/bars.csv,frozen_existing_artifact
DBAR-006,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/CABA_2022-06-23/bars.csv,frozen_existing_artifact
DBAR-007,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/CABA_2022-07-28/bars.csv,frozen_existing_artifact
DBAR-008,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/CABA_2025-06-11/bars.csv,frozen_existing_artifact
DBAR-009,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/CABA_2025-09-18/bars.csv,frozen_existing_artifact
DBAR-010,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/CRMD_2024-03-12/bars.csv,frozen_existing_artifact
DBAR-011,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/IOVA_2022-11-18/bars.csv,frozen_existing_artifact
DBAR-012,experiments/provider_aware_research/data_inputs/gaprev_mini_panel_databento_intraday_probe_20260521/IOVA_2025-04-07/bars.csv,frozen_existing_artifact
